dataset,requested_seeds,model_a,model_b,model_a_display,model_b_display,mae_a,mae_b,mean_loss_diff_a_minus_b,ci_low,ci_high,ci_excludes_zero,direction,sign_agreement_fraction,seeds_used,n_seeds_used,n_forecast_origins,valid_origins_by_seed,block_len,n_bootstrap
METR-LA,"43,44,45",D2STGNN,STAEformer,D2STGNN,STAEformer,2.890447151636149,2.954477998406967,-0.0640308467708183,-0.07617611571194664,-0.05103173677158841,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",D2STGNN,MegaCRN,D2STGNN,MegaCRN,2.890447151636149,3.040155854680669,-0.14970870304451975,-0.17399360777171502,-0.11872933813751402,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",D2STGNN,MTGNN,D2STGNN,MTGNN,2.890447151636149,3.048133118320141,-0.15768596668399248,-0.19508205621376015,-0.12664156136173418,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",D2STGNN,STID,D2STGNN,STID,2.890447151636149,3.1315606519085413,-0.24111350027239248,-0.2666006407677341,-0.21026375645141654,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",D2STGNN,STNorm,D2STGNN,STNorm,2.890447151636149,3.154036107136258,-0.2635889555001094,-0.29055675983762885,-0.231315087985675,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",D2STGNN,STGCNChebGraphConv,D2STGNN,STGCN-Cheb,2.890447151636149,3.156093650182686,-0.2656464985465379,-0.2820399240604606,-0.24026790341171725,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",STAEformer,MegaCRN,STAEformer,MegaCRN,2.954477998406967,3.040155854680669,-0.08567785627370143,-0.10913891742853313,-0.0527313043936612,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",STAEformer,MTGNN,STAEformer,MTGNN,2.954477998406967,3.048133118320141,-0.09365511991317418,-0.12356916132097685,-0.07051747780637055,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",STAEformer,STID,STAEformer,STID,2.954477998406967,3.1315606519085413,-0.17708265350157418,-0.19553023734450456,-0.1547885999328631,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",STAEformer,STNorm,STAEformer,STNorm,2.954477998406967,3.154036107136258,-0.19955810872929114,-0.2186767631444377,-0.176858282144018,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",STAEformer,STGCNChebGraphConv,STAEformer,STGCN-Cheb,2.954477998406967,3.156093650182686,-0.20161565177571958,-0.2194434714501156,-0.17663437838360568,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",MegaCRN,MTGNN,MegaCRN,MTGNN,3.040155854680669,3.048133118320141,-0.007977263639472747,-0.046690816780017734,0.019818160506538247,False,model_a_better,0.763,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",MegaCRN,STID,MegaCRN,STID,3.040155854680669,3.1315606519085413,-0.09140479722787274,-0.12713812943010183,-0.05770398251782851,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",MegaCRN,STNorm,MegaCRN,STNorm,3.040155854680669,3.154036107136258,-0.11388025245558968,-0.14735631586586406,-0.08068458455608885,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",MegaCRN,STGCNChebGraphConv,MegaCRN,STGCN-Cheb,3.040155854680669,3.156093650182686,-0.11593779550201816,-0.13929708046453765,-0.09263064249831213,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",MTGNN,STID,MTGNN,STID,3.048133118320141,3.1315606519085413,-0.0834275335884,-0.1078888744408295,-0.05011585428541015,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",MTGNN,STNorm,MTGNN,STNorm,3.048133118320141,3.154036107136258,-0.10590298881611694,-0.122253713317665,-0.08159672339714548,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",MTGNN,STGCNChebGraphConv,MTGNN,STGCN-Cheb,3.048133118320141,3.156093650182686,-0.10796053186254541,-0.13346323631952384,-0.06873120795672233,True,model_a_better,1.0,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",STID,STNorm,STID,STNorm,3.1315606519085413,3.154036107136258,-0.022475455227716937,-0.04405432539999454,-0.0006788607279585731,True,model_a_better,0.98,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",STID,STGCNChebGraphConv,STID,STGCN-Cheb,3.1315606519085413,3.156093650182686,-0.024532998274145408,-0.04881971533946705,0.0018979829255487896,False,model_a_better,0.962,"43,44,45",3,18759,"6253,6253,6253",288,2000
METR-LA,"43,44,45",STNorm,STGCNChebGraphConv,STNorm,STGCN-Cheb,3.154036107136258,3.156093650182686,-0.002057543046428466,-0.023670556136392806,0.023169995298659457,False,model_a_better,0.554,"43,44,45",3,18759,"6253,6253,6253",288,2000
