dataset,requested_seeds,model_a,model_b,model_a_display,model_b_display,mae_a,mae_b,mean_loss_diff_a_minus_b,ci_low,ci_high,ci_excludes_zero,direction,sign_agreement_fraction,seeds_used,n_seeds_used,n_forecast_origins,valid_origins_by_seed,block_len,n_bootstrap
PEMS04,"43,44,45",D2STGNN,STAEformer,D2STGNN,STAEformer,18.25402019622945,18.084311911021786,0.16970828520766693,0.1286523534348968,0.25869915040852304,True,model_b_better,1.0,"43,44,45",3,9984,"3328,3328,3328",288,2000
PEMS04,"43,44,45",D2STGNN,MegaCRN,D2STGNN,MegaCRN,18.251614299062997,18.706095681624173,-0.4544813825611777,-0.535760165846735,-0.35621622328385416,True,model_a_better,1.0,43,1,3328,3328,288,2000
PEMS04,"43,44,45",D2STGNN,MTGNN,D2STGNN,MTGNN,18.251614299062997,18.900779113237487,-0.6491648141744917,-0.8034521596060105,-0.46283356083884997,True,model_a_better,1.0,43,1,3328,3328,288,2000
PEMS04,"43,44,45",D2STGNN,STID,D2STGNN,STID,18.25402019622945,18.276984846795138,-0.02296465056568287,-0.08366649798651613,0.03660101697510442,False,model_a_better,0.7375,"43,44,45",3,9984,"3328,3328,3328",288,2000
PEMS04,"43,44,45",D2STGNN,STNorm,D2STGNN,STNorm,18.25402019622945,18.898373372739407,-0.6443531765099538,-0.6753254490912056,-0.5506450114612934,True,model_a_better,1.0,"43,44,45",3,9984,"3328,3328,3328",288,2000
PEMS04,"43,44,45",D2STGNN,STGCNChebGraphConv,D2STGNN,STGCN-Cheb,18.25402019622945,19.826436876134995,-1.5724166799055408,-1.6594018873600038,-1.4501921156349753,True,model_a_better,1.0,"43,44,45",3,9984,"3328,3328,3328",288,2000
PEMS04,"43,44,45",STAEformer,MegaCRN,STAEformer,MegaCRN,17.959530206393403,18.706095681624173,-0.746565475230769,-0.82614955026718,-0.6755238268894983,True,model_a_better,1.0,43,1,3328,3328,288,2000
PEMS04,"43,44,45",STAEformer,MTGNN,STAEformer,MTGNN,17.959530206393403,18.900779113237487,-0.9412489068440831,-1.0772757350510656,-0.7931567903468988,True,model_a_better,1.0,43,1,3328,3328,288,2000
PEMS04,"43,44,45",STAEformer,STID,STAEformer,STID,18.084311911021786,18.276984846795138,-0.1926729357733498,-0.32488429681525016,-0.11493643498708757,True,model_a_better,1.0,"43,44,45",3,9984,"3328,3328,3328",288,2000
PEMS04,"43,44,45",STAEformer,STNorm,STAEformer,STNorm,18.084311911021786,18.898373372739407,-0.8140614617176206,-0.8580593261975614,-0.747972568595592,True,model_a_better,1.0,"43,44,45",3,9984,"3328,3328,3328",288,2000
PEMS04,"43,44,45",STAEformer,STGCNChebGraphConv,STAEformer,STGCN-Cheb,18.084311911021786,19.826436876134995,-1.7421249651132076,-1.8574019747643573,-1.6368550250630047,True,model_a_better,1.0,"43,44,45",3,9984,"3328,3328,3328",288,2000
PEMS04,"43,44,45",MegaCRN,MTGNN,MegaCRN,MTGNN,18.706095681624173,18.900779113237487,-0.19468343161331408,-0.3046754746509297,-0.07216421119670882,True,model_a_better,0.9995,43,1,3328,3328,288,2000
PEMS04,"43,44,45",MegaCRN,STID,MegaCRN,STID,18.706095681624173,18.28927317428637,0.41682250733779846,0.19552728970770564,0.5922918488110425,True,model_b_better,1.0,43,1,3328,3328,288,2000
PEMS04,"43,44,45",MegaCRN,STNorm,MegaCRN,STNorm,18.706095681624173,18.963329091220118,-0.25723340959594554,-0.32848510838368206,-0.1461858676758967,True,model_a_better,1.0,43,1,3328,3328,288,2000
PEMS04,"43,44,45",MegaCRN,STGCNChebGraphConv,MegaCRN,STGCN-Cheb,18.706095681624173,19.755028099576528,-1.0489324179523534,-1.1835892313194565,-0.9259590032347998,True,model_a_better,1.0,43,1,3328,3328,288,2000
PEMS04,"43,44,45",MTGNN,STID,MTGNN,STID,18.900779113237487,18.28927317428637,0.6115059389511125,0.3157930115025821,0.8371649611612972,True,model_b_better,1.0,43,1,3328,3328,288,2000
PEMS04,"43,44,45",MTGNN,STNorm,MTGNN,STNorm,18.900779113237487,18.963329091220118,-0.0625499779826315,-0.2075632474778463,0.12110581343403876,False,model_a_better,0.651,43,1,3328,3328,288,2000
PEMS04,"43,44,45",MTGNN,STGCNChebGraphConv,MTGNN,STGCN-Cheb,18.900779113237487,19.755028099576528,-0.8542489863390392,-1.0075168123690574,-0.7501113000510323,True,model_a_better,1.0,43,1,3328,3328,288,2000
PEMS04,"43,44,45",STID,STNorm,STID,STNorm,18.276984846795138,18.898373372739407,-0.6213885259442709,-0.6885073779689961,-0.4909339626405019,True,model_a_better,1.0,"43,44,45",3,9984,"3328,3328,3328",288,2000
PEMS04,"43,44,45",STID,STGCNChebGraphConv,STID,STGCN-Cheb,18.276984846795138,19.826436876134995,-1.549452029339858,-1.661625248798482,-1.4059796996666285,True,model_a_better,1.0,"43,44,45",3,9984,"3328,3328,3328",288,2000
PEMS04,"43,44,45",STNorm,STGCNChebGraphConv,STNorm,STGCN-Cheb,18.898373372739407,19.826436876134995,-0.928063503395587,-1.0241047148058318,-0.8653057082766352,True,model_a_better,1.0,"43,44,45",3,9984,"3328,3328,3328",288,2000
